Households, Total Number
Number Of Household,500
 , 
Auction Summarize,Messages Count
Total Messages,19223
Buyer Number of Deals,18176
Seller Number of Deals,236
Buy From Main Source ,4
Sell From Main Source ,0
Total Deals Completed,811
 , 
Saving Summarize,Max&Min
Buyer Average Price per kWh,13.09
Seller - Highest Win Rate,117
Seller - Lowest Win Rate,7
Seller - Second Lowest Win Rate,8
Seller - Third Lowest Win Rate,9
Buyer - Highest Savings,54
Buyer - Lowest Savings,1
Buyer - Second Lowest Savings,2
Buyer - Third Lowest Savings,3
Deals between 15-20 pounds,174
Deals between 11-14 pounds,638
Day, Time
11/07/2023,16:30:16
11/07/2023,16:30:31
