Households, Total Number
Number Of Household,500
 , 
Auction Summarize,Messages Count
Total Messages,22972
Buyer Number of Deals,21988
Seller Number of Deals,222
Buy From Main Source ,25
Sell From Main Source ,0
Total Deals Completed,762
 , 
Saving Summarize,Max&Min
Buyer Average Price per kWh,15.96
Seller - Highest Win Rate,162
Seller - Lowest Win Rate,7
Seller - Second Lowest Win Rate,8
Seller - Third Lowest Win Rate,9
Buyer - Highest Savings,10
Buyer - Lowest Savings,1
Buyer - Second Lowest Savings,2
Buyer - Third Lowest Savings,3
Deals between 15-20 pounds,493
Deals between 11-14 pounds,270
Day, Time
11/07/2023,16:37:02
11/07/2023,16:37:13
